                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2475,                 3.5638,                 2.0608,                0.00386,                 0.7583,                0.07978,                0.02412,                 2.3084,                 4.0078,                 2.2457,             0.00054556,             0.00054556,             0.00054556
                      2,                 2.2801,                 3.1379,                 2.0543,                0.23737,                0.18142,                0.10223,                0.02665,                 2.5242,                 3.8327,                 2.5756,              0.0010928,              0.0010928,              0.0010928
                      3,                 2.3171,                 2.9936,                 2.0923,                0.11876,                0.13378,                0.06029,                 0.0176,                 2.7029,                 3.6982,                 2.5389,              0.0016317,              0.0016317,              0.0016317
                      4,                 2.3123,                 2.8395,                 2.0722,                0.14572,                0.12085,                0.04849,                0.01549,                 2.5138,                 4.5632,                 2.3401,              0.0016289,              0.0016289,              0.0016289
                      5,                 2.3062,                 2.7767,                 2.0493,                0.30523,                0.27314,                 0.2012,                0.06007,                 2.4558,                 3.1218,                 2.2864,              0.0016162,              0.0016162,              0.0016162
                      6,                 2.3013,                 2.7017,                 2.0633,                0.23011,                0.36991,                0.18163,                0.05688,                 2.3785,                 4.1333,                 2.3899,              0.0016035,              0.0016035,              0.0016035
                      7,                 2.2361,                 2.6461,                 2.0475,                0.22858,                0.26206,                0.15052,                0.04752,                 2.4131,                 3.7343,                 2.2244,              0.0015908,              0.0015908,              0.0015908
                      8,                 2.2104,                 2.5621,                 2.0139,                 0.3408,                0.27003,                 0.2672,                0.08986,                 2.2732,                 2.9379,                 2.1036,              0.0015781,              0.0015781,              0.0015781
                      9,                 2.2261,                 2.5878,                 2.0121,                0.33037,                 0.2557,                0.21996,                 0.0735,                 2.2905,                 2.8893,                 2.1935,              0.0015654,              0.0015654,              0.0015654
                     10,                 2.2216,                 2.5776,                 2.0334,                0.24039,                0.29531,                0.21549,                0.06897,                 2.3404,                 3.0208,                 2.1582,              0.0015527,              0.0015527,              0.0015527
                     11,                 2.1755,                 2.4558,                 1.9893,                0.48216,                0.31136,                0.30585,                0.10316,                 2.2908,                 2.7375,                 2.1367,              0.0015401,              0.0015401,              0.0015401
                     12,                 2.1478,                 2.4581,                 1.9839,                0.41631,                0.25045,                0.26224,                0.09516,                 2.2843,                   2.75,                 2.1555,              0.0015274,              0.0015274,              0.0015274
                     13,                 2.1864,                 2.4074,                 1.9727,                0.44801,                0.28972,                0.23909,                0.08159,                 2.4249,                 2.7765,                 2.1926,              0.0015147,              0.0015147,              0.0015147
                     14,                 2.1493,                 2.3861,                 1.9603,                0.54756,                0.34982,                 0.3829,                0.15004,                 2.2656,                 2.4659,                 2.0958,               0.001502,               0.001502,               0.001502
